occupancy_date,id,occupied_beds,location_province,occupancy_rate_beds
2021-01-01,6,6,ON,75
2021-01-01,11,22,ON,91.67
2021-01-01,12,8,ON,66.67
2021-01-01,22,10,ON,83.33
2021-01-01,26,11,ON,91.67
2021-01-01,30,32,ON,100
2021-01-01,32,23,ON,100
2021-01-01,37,61,ON,92.42
2021-01-01,38,51,ON,100
2021-01-01,39,31,ON,81.58
2021-01-01,40,52,ON,98.11
2021-01-01,41,66,ON,100
2021-01-01,42,18,ON,81.82
2021-01-01,43,18,ON,81.82
2021-01-01,44,55,NA,100
2021-01-01,45,11,ON,91.67
2021-01-01,47,5,ON,100
2021-01-01,48,5,ON,55.56
2021-01-01,49,45,ON,97.83
2021-01-01,50,20,ON,100
2021-01-01,52,52,ON,98.11
2021-01-01,53,28,ON,100
2021-01-01,54,44,ON,100
2021-01-01,55,49,ON,98
2021-01-01,57,41,ON,100
2021-01-01,60,22,ON,100
2021-01-01,61,47,ON,94
2021-01-01,63,13,ON,81.25
2021-01-01,64,13,ON,100
2021-01-01,65,5,ON,100
2021-01-01,66,8,ON,72.73
2021-01-01,67,32,ON,86.49
2021-01-01,68,16,ON,69.57
2021-01-01,70,25,NA,100
2021-01-01,71,42,ON,100
2021-01-01,73,45,ON,100
2021-01-01,74,6,ON,100
2021-01-01,75,20,ON,80
2021-01-01,76,25,ON,100
2021-01-01,77,5,ON,100
2021-01-01,79,46,ON,100
2021-01-01,81,59,ON,85.51
2021-01-01,82,19,ON,100
2021-01-01,83,53,ON,100
2021-01-01,84,30,ON,96.77
2021-01-01,86,121,ON,99.18
2021-01-01,87,30,ON,100
2021-01-01,88,90,ON,100
2021-01-01,89,33,ON,94.29
2021-01-01,90,3,ON,100
2021-01-01,91,79,ON,95.18
2021-01-01,92,16,ON,100
2021-01-01,94,10,ON,76.92
2021-01-01,95,24,ON,96
2021-01-01,96,35,ON,100
2021-01-01,97,11,ON,73.33
2021-01-01,98,6,ON,66.67
2021-01-01,100,15,ON,83.33
2021-01-01,101,18,ON,100
2021-01-01,102,12,ON,100
2021-01-01,103,25,ON,96.15
2021-01-01,104,19,ON,100
2021-01-17,2305,48,NA,88.89
2021-01-01,105,43,ON,100
2021-01-01,106,27,ON,96.43
2021-01-01,107,18,ON,100
2021-01-01,108,22,ON,81.48
2021-01-01,111,45,ON,67.16
2021-01-01,113,48,ON,97.96
2021-01-01,115,52,ON,100
2021-01-01,117,181,ON,100
2021-01-01,118,10,ON,100
2021-01-01,119,40,ON,88.89
2021-01-01,120,32,ON,100
2021-01-01,122,6,ON,100
2021-01-01,123,9,ON,100
2021-01-01,124,40,ON,100
2021-01-01,126,6,ON,100
2021-01-01,127,13,ON,100
2021-01-01,128,37,ON,100
2021-01-01,129,10,NA,100
2021-01-01,131,16,ON,94.12
2021-01-01,133,21,ON,84
2021-01-01,134,24,ON,96
2021-01-01,135,21,ON,87.5
2021-01-01,138,12,ON,80
2021-01-01,139,11,ON,84.62
2021-01-01,140,10,ON,100
2021-01-01,141,29,ON,100
2021-01-02,147,6,ON,75
2021-01-02,201,22,ON,100
2021-01-02,152,22,ON,91.67
2021-01-02,153,8,ON,66.67
2021-01-02,163,10,ON,83.33
2021-01-02,181,53,ON,100
2021-01-02,167,11,ON,91.67
2021-01-02,171,31,ON,96.88
2021-01-02,182,66,ON,100
2021-01-02,173,23,ON,100
2021-01-02,178,61,ON,92.42
2021-01-02,179,51,ON,100
2021-01-02,180,31,ON,81.58
2021-01-02,183,18,ON,81.82
2021-01-02,184,18,ON,81.82
2021-01-02,185,54,NA,98.18
2021-01-02,186,11,ON,91.67
2021-01-02,188,5,ON,100
2021-01-02,189,5,ON,55.56
2021-01-02,190,46,ON,100
2021-01-02,191,20,ON,100
2021-01-02,193,51,ON,96.23
2021-01-02,194,28,ON,100
2021-01-02,195,44,ON,100
2021-01-02,196,47,ON,97.92
2021-01-02,198,41,ON,100
2021-01-02,202,47,ON,94
2021-01-02,204,13,ON,81.25
2021-01-02,205,13,ON,100
2021-01-02,206,5,ON,100
2021-01-02,207,8,ON,72.73
2021-01-02,208,32,ON,86.49
2021-01-02,209,16,ON,69.57
2021-01-02,211,25,NA,100
2021-01-02,212,42,ON,100
2021-01-02,214,44,ON,97.78
2021-01-02,215,6,ON,100
2021-01-02,216,20,ON,80
2021-01-02,217,25,ON,100
2021-01-02,218,5,ON,100
2021-01-02,220,44,ON,97.78
2021-01-02,222,55,ON,82.09
2021-01-02,223,19,ON,100
2021-01-02,224,53,ON,100
2021-01-02,225,31,ON,100
2021-01-02,227,122,ON,100
2021-01-02,228,30,ON,100
2021-01-02,229,90,ON,100
2021-01-02,230,35,ON,100
2021-01-02,231,3,ON,100
2021-01-02,232,79,ON,95.18
2021-01-02,233,15,ON,93.75
2021-01-02,235,10,ON,76.92
2021-01-02,252,45,ON,67.16
2021-01-02,236,24,ON,96
2021-01-02,237,35,ON,100
2021-01-02,238,11,ON,73.33
2021-01-02,239,6,ON,66.67
2021-01-02,241,15,ON,83.33
2021-01-02,242,18,ON,100
2021-01-02,243,12,ON,100
2021-01-05,635,25,NA,100
2021-01-02,244,25,ON,96.15
2021-01-02,245,19,ON,100
2021-01-02,246,43,ON,100
2021-01-02,247,28,ON,100
2021-01-02,248,18,ON,100
2021-01-02,249,25,ON,92.59
2021-01-15,2047,25,NA,100
2021-01-02,254,49,ON,100
2021-01-02,256,52,ON,100
2021-01-02,258,181,ON,100
2021-01-02,259,10,ON,100
2021-01-02,260,40,ON,88.89
2021-01-02,261,32,ON,100
2021-01-02,263,6,ON,100
2021-01-02,264,9,ON,100
2021-01-02,265,39,ON,97.5
2021-01-02,267,6,ON,100
2021-01-02,268,13,ON,100
2021-01-03,320,50,ON,100
2021-01-02,269,37,ON,100
2021-01-02,270,10,NA,100
2021-01-02,272,17,ON,100
2021-01-02,274,21,ON,84
2021-01-02,275,25,ON,100
2021-01-02,276,19,ON,79.17
2021-01-02,279,12,ON,80
2021-01-02,280,11,ON,84.62
2021-01-02,281,10,ON,100
2021-01-02,282,29,ON,100
2021-01-03,288,6,ON,75
2021-01-03,293,22,ON,91.67
2021-01-03,294,8,ON,66.67
2021-01-20,2731,46,NA,85.19
2021-01-03,304,10,ON,83.33
2021-01-03,308,11,ON,91.67
2021-01-03,330,5,ON,55.56
2021-01-03,312,31,ON,96.88
2021-01-03,314,22,ON,95.65
2021-01-03,319,61,ON,92.42
2021-01-03,321,31,ON,81.58
2021-01-03,322,53,ON,100
2021-01-03,323,66,ON,100
2021-01-03,324,18,ON,81.82
2021-01-03,325,18,ON,81.82
2021-01-03,326,54,NA,98.18
2021-01-03,327,11,ON,91.67
2021-01-03,329,5,ON,100
2021-01-03,331,45,ON,97.83
2021-01-03,332,19,ON,95
2021-01-03,334,50,ON,94.34
2021-01-03,335,28,ON,100
2021-01-03,336,43,ON,100
2021-01-03,337,46,ON,95.83
2021-01-03,339,41,ON,100
2021-01-03,342,22,ON,100
2021-01-03,343,43,ON,86
2021-01-03,345,14,ON,87.5
2021-01-03,346,13,ON,100
2021-01-03,347,5,ON,100
2021-01-03,348,8,ON,72.73
2021-01-03,349,32,ON,86.49
2021-01-03,350,16,ON,69.57
2021-01-03,352,25,NA,100
2021-01-03,353,42,ON,100
2021-01-03,355,44,ON,100
2021-01-03,356,6,ON,100
2021-01-04,486,15,ON,93.75
2021-01-03,357,19,ON,76
2021-01-03,358,23,ON,100
2021-01-03,359,5,ON,100
2021-01-03,361,46,ON,100
2021-01-03,363,49,ON,73.13
2021-01-03,364,19,ON,100
2021-01-03,389,18,ON,100
2021-01-03,365,51,ON,96.23
2021-01-03,366,31,ON,100
2021-01-03,368,121,ON,100
